id,key,no_ep
265,Pickle Rick,1
266,Piece of Toast,2
267,Plumber Rick,1
268,Poncho,1
269,Presidentress of The Mega Gargantuans,1
270,Prince Nebulon,1
271,Principal Vagina,3
272,Principal Vagina,6
273,Purge Planet Ruler,1
274,Quantum Rick,3
275,Randy Dicknose,1
276,Rat Boss,1
277,Real Fake Doors Salesman,1
278,Regional Manager Rick,1
279,Regular Legs,1
280,Reverse Giraffe,1
281,Reverse Rick Outrage,1
282,Revolio Clockberg Jr.,3
283,Rick D. Sanchez III,1
284,Rick Guilt Rick,1
285,Rick Prime,2
286,Rick D-99,1
287,Rick D716,1
288,Rick D716-B,1
289,Rick D716-C,1
290,Rick Sanchez,1
291,Rick J-22,1
292,Rick K-22,1
293,Rick Sanchez,1
294,Ricktiminus Sancheziminius,3
295,Riq IV,3
296,Risotto Groupon,1
297,Risotto's Tentacled Henchman,1
298,Robot Morty,1
299,Robot Rick,1
300,Roger,1
301,Ron Benson,1
302,Ruben,1
303,Samantha,1
304,Scary Brandon,1
305,Scary Glenn,1
306,Scary Terry,1
307,Scroopy Noopers,1
308,Scropon,2
309,Scrotian,4
310,Self-Congratulatory Jerry,1
311,Shimshamian,3
312,Shlaammi,1
313,Shleemypants,2
314,Shmlamantha Shmlicelli,1
315,Shmlangela Shmlobinson-Shmlower,1
316,Shmlona Shmlobinson,1
317,Shmlonathan Shmlower,1
318,Shmlony Shmlicelli,1
319,Shmooglite Runner,1
320,Shnoopy Bloopers,1
321,Shrimply Pibbles,1
322,Simple Rick,1
323,Slaveowner,1
324,Sleepy Gary,1
325,Slick Morty,1
326,Slippery Stair,2
327,Slow Mobius,1
328,Slow Rick,1
329,Snuffles (Snowball),8
330,Solicitor Rick,2
331,Squanchy,3
332,Stacy,1
333,Stair Goblin,3
334,Stealy,1
335,Steve,1
336,Steven Phillips,1
337,Stu,1
338,Summer Smith,7
339,Summer Smith,1
340,Supernova,1
341,Taddy Mason,1
342,Taint Washer,1
343,Tammy Guetermann,2
344,Tammy Guetermann,5
345,Teacher Rick,1
346,Terry,1
347,President Curtis,5
348,The President of the Miniverse,1
349,The Scientist Formerly Known as Rick,1
350,Thomas Lipkip,1
351,Three Unknown Things,1
352,Tinkles,1
353,Tiny Rick,1
354,Toby Matthews,1
355,Todd Crystal,1
356,Tom Randolph,1
357,Tommy's Clone,1
358,Tophat Jones,3
359,Tortured Morty,1
360,Toxic Morty,1
361,Toxic Rick,1
362,Traflorkian,5
363,Trandor,1
364,Tree Person,1
365,Tricia Lange,5
366,Trunk Morty,1
367,Trunk Man,2
368,Truth Tortoise,1
369,Tusked Assassin,1
370,Two Guys with Handlebar Mustaches,1
371,Tumblorkian,1
372,Unity,1
373,Unmuscular Michael,1
374,Vampire Master,1
375,Vance Maximus,1
376,Veronica Ann Bennet,1
377,Voltematron,1
378,Wall Crawling Rick,1
379,Wedding Bartender,1
380,Unknown Rick,2
381,Woman Rick,1
382,Worldender,1
383,Yaarb,1
384,Yellow Headed Doctor,1
385,Yellow Shirt Rick,1
386,Zarbadar Gloonch,2
387,Zarbadar's Mytholog,1
388,Zeep Xanflorp,1
389,Zeta Alpha Rick,4
390,Zick Zack,1
391,Uncle Steve,1
392,Bearded Morty,2
393,Roy,1
394,Davin,2
395,Greebybobe,4
396,Scary Teacher,1
397,Fido,1
398,Accountant dog,1
399,Tiny-persons advocacy group lawyer,1
400,Giant Judge,1
401,Morty Jr's interviewer,1
402,Guy from The Bachelor,1
403,Corn detective,1
404,Michael Jackson,1
405,Trunkphobic suspenders guy,4
406,Spiderweb teddy bear,1
407,Regular Tyrion Lannister,1
408,Quick Mystery Presenter,1
409,Mr. Sneezy,1
410,Two Brothers,1
411,Alien Mexican Armada,1
412,Giant Cat Monster,1
413,Old Women,1
414,Trunkphobic guy,1
415,Pro trunk people marriage guy,1
416,Muscular Mannie,1
417,Baby Legs Chief,1
418,Mrs. Sullivan's Boyfriend,1
419,Plutonian Hostess,1
420,Plutonian Host,1
421,Rich Plutonian,1
422,Rich Plutonian,1
423,Synthetic Laser Eels,1
424,Pizza-person,1
425,Pizza-person,1
426,Greasy Grandma,1
427,Phone-person,1
428,Phone-person,1
429,Chair-person,1
430,Chair-person,1
431,Chair-homeless,1
432,Chair-waiter,1
433,Doopidoo,1
434,Super Weird Rick,1
435,Pripudlian,4
436,Giant Testicle Monster,2
437,Michael,1
438,Michael's Lawyer,1
439,Veterinary,1
440,Veterinary Nurse,1
441,Bearded Jerry,1
442,Shaved Head Jerry,1
443,Tank Top Jerry,1
444,Pink Polo Shirt Jerry,1
445,Jerryboree Keeper,1
446,Jerryboree Receptionist,1
447,Anchor Gear,1
448,Gear Cop,1
449,Roy's Mum,1
450,Roy's Wife,1
451,Roy's Son,1
452,Simon,1
453,Vampire Master's Assistant,1
454,Arbolian Mentirososian,3
455,St. Gloopy Noops Nurse,1
456,Nano Doctor,1
457,Funny Songs Presenter,1
458,Tax Attorney,1
459,Butthole Ice Cream Guy,1
460,Traflorkian Journalist,1
461,Communication's Responsible Rick,1
462,Teleportation's Responsible Rick,1
463,SEAL Team Rick,1
464,SEAL Team Rick,1
465,SEAL Team Rick,1
466,SEAL Team Rick,1
467,Morphizer-XE Customer Support,1
468,Morphizer-XE Customer Support,1
469,Morphizer-XE Customer Support,1
470,Alien Spa Employee,1
471,Little Voltron,1
472,Baby Rick,1
473,Bartender Morty,1
474,Dancer Cowboy Morty,1
475,Dancer Morty,1
476,Flower Morty,1
477,Hairdresser Rick,1
478,Journalist Rick,1
479,Private Sector Rick,1
480,Purple Morty,1
481,Retired General Rick,1
482,Secret Service Rick,1
483,Steve Jobs Rick,1
484,Sheik Rick,1
485,Modern Rick,1
486,Tan Rick,1
487,Visor Rick,1
488,Colonial Rick,1
489,P-Coat Rick,1
490,Chang,1
491,Dr. Eleanor Arroway,1
492,Varrix,1
493,Secretary of the Interior,1
494,Crystal Poacher,1
495,Crystal Poacher,1
496,Crystal Poacher,1
497,Hologram Rick,1
498,Fascist Rick,1
499,Fascist Morty,1
500,Fascist Mr. President,1
501,Fascist Rick’s Clone,1
502,Revolio Clockberg Jr.,1
503,Fascist Shrimp Rick,1
504,Fascist Shrimp Rick’s Clone,1
505,Fascist Shrimp Morty,1
506,Fascist Shrimp SS,1
507,Fascist Teddy Bear Rick,1
508,Fascist Teddy Bear Rick’s Clone,1
509,Bully,1
510,Anchorman,1
511,Anchorwoman,1
512,Morty’s Lawyer,1
513,Judge,1
514,Public Opinion Judge,1
515,Caterpillar Mr. Goldenfold,1
516,Wasp Rick,1
517,Wasp Rick’s Clone,1
518,Wasp Morty,1
519,Wasp Summer,1
520,Wasp Jerry,1
521,Wasp Beth,1
522,Caterpillar Mr. Goldenfold’s Larvae,1
523,Boglin,1
524,Kirkland Brand Mr. Meeseeks,1
525,Glootie,1
526,Danny Publitz,1
527,Mothership Intern,1
528,Monogatron Leader,1
529,Lizard,1
530,Deliverance,1
531,Tony,1
532,Tony’s Wife,1
533,Monogatron Queen,1
534,Tony's Dad,1
535,Jeff,1
536,Josiah,1
537,Maggie,1
538,Priest Witherspoon,1
539,Richard,1
540,Running Bird,1
541,Secretary at Tony's,1
542,Mountain Sweat Jerry,1
543,Vermigurber,1
544,Miles Knightly,1
545,Heist-Con Receptionist,1
546,Angie Flint,1
547,Glar,1
548,Truckula,1
549,Snake Arms,1
550,Double Microwawe,1
551,Monitor Lord,1
552,Key Catcher,1
553,The Shapeshiftress,1
554,Heistotron,1
555,Randotron,1
556,Hephaestus,1
557,Ventriloquiver,1
558,Elon Tusk,1
559,Gramuflackian Anchorman,1
560,Gramuflackian General,1
561,Netflix Executive,1
562,Balthromaw,1
563,The Wizard,1
564,Talking Cat,1
565,Debrah,1
566,Debrah’s Partner,1
567,Michael,1
568,Slut Dragon,1
569,Shadow Jacker,1
570,Chachi,1
571,Slippy,1
572,Robot Snake,1
573,Snake Hitler,1
574,Snake Lincoln,1
575,Snake Resistance Robot,1
576,Snake Linguist,1
577,Snake Terminator,1
578,Snake Soldier,1
579,Snake with Legs,1
580,Secret Service Snake,1
